"Supplemental Table 3. PCA, clustering, and GO enrichment analysis results. Note GO enrichment was not performed on the pale turquoise clade because this clade did not show temperature differences.",,,,,,,,,,,,,
protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC100168620.4.4.m.40081,-0.023389972,0.006813375,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; defense response to bacterium [GO:0042742]; defense response to protozoan [GO:0042832]; innate immune response [GO:0045087],NA,NA,NA
CHOYP_LOC100168796.1.1.m.4672,0.011878017,-0.008611729,No,NA,NA,NA,NA,NA,NA,synapse [GO:0045202]; RNA binding [GO:0003723]; cellular response to leukemia inhibitory factor [GO:1990830],NA,NA,NA
CHOYP_LOC100168945.1.1.m.37004,0.007200219,-0.007480763,No,NA,NA,NA,NA,NA,NA,azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; myelin sheath [GO:0043209]; secretory granule lumen [GO:0034774]; synapse [GO:0045202]; vesicle [GO:0031982]; GTPase activator activity [GO:0005096]; Rab GDP-dissociation inhibitor activity [GO:0005093]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; neutrophil degranulation [GO:0043312]; protein transport [GO:0015031]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]; small GTPase mediated signal transduction [GO:0007264],NA,NA,NA
CHOYP_LOC100169229.1.1.m.25981,0.013428941,-0.008456102,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; GTPase activator activity [GO:0005096]; Rac GTPase binding [GO:0048365]; negative regulation of cell migration [GO:0030336]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165],NA,NA,NA
CHOYP_LOC100169297.1.1.m.48433,0.0056281,-0.009201121,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556],NA,NA,NA
CHOYP_LOC100169460.1.1.m.41302,-0.01033366,-0.016082882,No,NA,NA,NA,NA,NA,NA,cytoskeleton [GO:0005856]; extrinsic component of plasma membrane [GO:0019897]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; cardiolipin binding [GO:1901612]; GTPase binding [GO:0051020]; signaling receptor binding [GO:0005102]; CD4-positive; alpha-beta T cell activation [GO:0035710]; cellular calcium ion homeostasis [GO:0006874]; interleukin-2 production [GO:0032623]; lipid localization [GO:0010876]; mitochondrial ATP synthesis coupled proton transport [GO:0042776]; mitochondrial calcium ion transmembrane transport [GO:0006851]; mitochondrial protein processing [GO:0034982]; mitochondrion organization [GO:0007005]; positive regulation of cardiolipin metabolic process [GO:1900210]; positive regulation of mitochondrial DNA replication [GO:0090297]; positive regulation of mitochondrial membrane potential [GO:0010918]; protein complex oligomerization [GO:0051259]; stress-induced mitochondrial fusion [GO:1990046]; T cell receptor signaling pathway [GO:0050852],NA,NA,NA
CHOYP_LOC100174996.1.1.m.27300,-0.011638478,0.016386183,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175021.11.11.m.63958,-0.022519518,0.010561608,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175021.7.11.m.58378,-0.022620923,0.010463939,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175702.1.1.m.56240,-0.016959105,0.009602069,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100175722.1.3.m.11427,-0.022836308,0.00110576,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100175867.1.1.m.48982,0.022029772,-0.003984861,No,NA,NA,NA,NA,NA,NA,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; growth plate cartilage chondrocyte morphogenesis [GO:0003429],NA,NA,NA
CHOYP_LOC100175959.1.7.m.1896,0.005926505,0.017029499,No,NA,NA,NA,NA,NA,NA,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414],NA,NA,NA
CHOYP_LOC100175959.4.7.m.28172,0.015884127,0.003783866,No,NA,NA,NA,NA,NA,NA,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414],NA,NA,NA
CHOYP_LOC100176099.1.1.m.40368,-0.022666073,0.010313637,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; nucleotide binding [GO:0000166]; protein kinase A binding [GO:0051018]; protein kinase A regulatory subunit binding [GO:0034237]; protein kinase binding [GO:0019901]; modulation of chemical synaptic transmission [GO:0050804]; regulation of protein kinase A signaling [GO:0010738],NA,NA,NA
CHOYP_LOC100176232.1.1.m.24645,-0.011116773,0.012704454,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; plasma membrane [GO:0005886]; postsynaptic density; intracellular component [GO:0099092]; Schaffer collateral - CA1 synapse [GO:0098685]; GTPase activator activity [GO:0005096]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; actin cytoskeleton organization [GO:0030036]; brain development [GO:0007420]; inner ear morphogenesis [GO:0042472]; intracellular signal transduction [GO:0035556]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of blood vessel remodeling [GO:0060313]; negative regulation of cell migration [GO:0030336]; negative regulation of cellular extravasation [GO:0002692]; negative regulation of inflammatory response [GO:0050728]; negative regulation of neutrophil degranulation [GO:0043314]; neuromuscular process controlling balance [GO:0050885]; positive regulation of phagocytosis [GO:0050766]; regulation of Rho protein signal transduction [GO:0035023]; regulation of vascular permeability [GO:0043114]; response to lipopolysaccharide [GO:0032496],NA,NA,NA
CHOYP_LOC100176461.1.1.m.63236,0.003896971,-0.018237163,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100176721.6.6.m.66056,0.003647786,-0.008720528,No,NA,NA,NA,NA,NA,NA,collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular [GO:0005622]; collagen fibril binding [GO:0098633]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; elastic fiber assembly [GO:0048251],NA,NA,NA
CHOYP_LOC100176799.1.1.m.3132,0.007321473,0.007575365,No,NA,NA,NA,NA,NA,NA,lysosome [GO:0005764]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013],NA,NA,NA
CHOYP_LOC100177459.1.2.m.48730,-0.016614043,-0.002553466,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100177679.1.1.m.54177,0.01706195,-0.001050963,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100177909.1.1.m.29356,-0.00825871,-0.005694934,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATPase activator activity [GO:0001671]; chaperone binding [GO:0051087]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; [2Fe-2S] cluster assembly [GO:0044571]; iron-sulfur cluster assembly [GO:0016226]; protein complex oligomerization [GO:0051259]; protein maturation by iron-sulfur cluster transfer [GO:0097428],NA,NA,NA
CHOYP_LOC100178034.1.2.m.13282,0.003693897,-0.022158227,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100178081.1.1.m.56365,-0.011016305,-0.00626005,No,NA,NA,NA,NA,NA,NA,cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; synapse [GO:0045202]; vesicle [GO:0031982]; actin binding [GO:0003779]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; axon guidance [GO:0007411]; compound eye morphogenesis [GO:0001745]; defense response to fungus [GO:0050832]; exocytosis [GO:0006887]; germarium-derived egg chamber formation [GO:0007293]; intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; oocyte microtubule cytoskeleton polarization [GO:0008103]; phototransduction [GO:0007602]; pole plasm oskar mRNA localization [GO:0045451]; R7 cell development [GO:0045467]; Rab protein signal transduction [GO:0032482]; regulation of postsynaptic membrane potential [GO:0060078]; retrograde transport; endosome to Golgi [GO:0042147]; retrograde vesicle-mediated transport; Golgi to endoplasmic reticulum [GO:0006890]; vesicle-mediated transport [GO:0016192],NA,NA,NA
CHOYP_LOC100178400.1.1.m.4321,0.012172702,0.005665149,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100178700.1.1.m.37554,1.22E-05,-0.015018977,No,NA,NA,NA,NA,NA,NA,chromosome [GO:0005694]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone demethylase activity (H3-K36 specific) [GO:0051864]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; G2/M transition of mitotic cell cycle [GO:0000086]; histone H3-K36 demethylation [GO:0070544]; positive regulation of transcription; DNA-templated [GO:0045893],NA,NA,NA
CHOYP_LOC100178916.1.1.m.26391,0.001445046,0.002410149,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; nucleus [GO:0005634]; apoptotic process [GO:0006915],NA,NA,NA
CHOYP_LOC100179134.1.1.m.23870,0.00205195,-0.009341169,No,NA,NA,NA,NA,NA,NA,fibrillar center [GO:0001650]; intercellular bridge [GO:0045171]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; nucleotide phosphatase activity; acting on free nucleotides [GO:0098519]; phosphatase activity [GO:0016791]; polynucleotide 5'-phosphatase activity [GO:0004651]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; RNA binding [GO:0003723]; polynucleotide 5' dephosphorylation [GO:0098507]; protein dephosphorylation [GO:0006470]; RNA metabolic process [GO:0016070],NA,NA,NA
CHOYP_LOC100179300.1.2.m.22734,0.002341576,-0.022632651,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; calcium ion binding [GO:0005509],NA,NA,NA
CHOYP_LOC100179357.5.6.m.45322,-0.009336075,-0.013176392,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100179448.1.1.m.8298,0.014545081,-0.015914947,No,NA,NA,NA,NA,NA,NA,small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,NA,NA
CHOYP_LOC100179516.1.2.m.45110,-0.006192052,0.014000503,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100179516.2.2.m.49937,-0.018807025,-0.011186417,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100180023.1.7.m.11060,0.018713537,0.008355405,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180023.4.7.m.33650,0.006936172,-0.004373632,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180023.5.7.m.56825,-0.001407159,0.018485876,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180543.1.1.m.4746,0.011608061,0.000655134,No,NA,NA,NA,NA,NA,NA,mitochondrion [GO:0005739]; agmatinase activity [GO:0008783]; metal ion binding [GO:0046872]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295],NA,NA,NA
CHOYP_LOC100180636.1.1.m.66440,-0.007072569,-0.024459613,No,NA,NA,NA,NA,NA,NA,ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; heart development [GO:0007507]; protein phosphorylation [GO:0006468]; regulation of cilium assembly [GO:1902017],NA,NA,NA
CHOYP_LOC100180716.1.2.m.860,0.008337874,0.013477192,No,NA,NA,NA,NA,NA,NA,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,NA,NA
CHOYP_LOC100180855.2.4.m.46097,-0.005540956,0.004900693,No,NA,NA,NA,NA,NA,NA,plasma membrane [GO:0005886]; AMP binding [GO:0016208],NA,NA,NA
CHOYP_LOC100180855.4.4.m.66721,0.000333889,-0.017478697,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100180883.1.1.m.46611,-0.015381465,-0.009261491,No,NA,NA,NA,NA,NA,NA,cytoplasmic dynein complex [GO:0005868]; dynein intermediate chain binding [GO:0045505]; cilium assembly [GO:0060271]; regulation of cilium assembly [GO:1902017]; regulation of intraciliary retrograde transport [GO:1905799],NA,NA,NA
CHOYP_LOC100181095.1.1.m.8314,-0.016151739,-0.013687061,No,NA,NA,NA,NA,NA,NA,Golgi apparatus [GO:0005794]; cell differentiation [GO:0030154]; spermatogenesis [GO:0007283],NA,NA,NA
CHOYP_LOC100181159.1.1.m.6127,0.016405023,0.01167396,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181343.1.1.m.59214,-0.001444642,0.01094202,No,NA,NA,NA,NA,NA,NA,catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; mRNA binding [GO:0003729]; mRNA splicing; via spliceosome [GO:0000398],NA,NA,NA
CHOYP_LOC100181350.1.1.m.2782,0.01072765,-0.004219979,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron; 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115],NA,NA,NA
CHOYP_LOC100181355.1.1.m.48652,-0.000870294,0.010175578,No,NA,NA,NA,NA,NA,NA,acrosomal membrane [GO:0002080]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; outer acrosomal membrane [GO:0002081]; sperm flagellum [GO:0036126]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; regulation of brood size [GO:0060378],NA,NA,NA
CHOYP_LOC100181607.1.2.m.36709,0.005148559,0.015030361,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181826.1.1.m.16288,0.016468709,-0.013400699,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100181873.1.2.m.45633,-0.016180734,0.005750619,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100182131.1.1.m.26023,-0.010497241,-0.006133337,No,NA,NA,NA,NA,NA,NA,integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; perinuclear region of cytoplasm [GO:0048471]; endocytosis [GO:0006897]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of sprouting angiogenesis [GO:1903671]; regulation of Notch signaling pathway [GO:0008593],NA,NA,NA
CHOYP_LOC100182237.2.2.m.33734,0.005333271,-0.006623147,No,NA,NA,NA,NA,NA,NA,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; ErbB-2 class receptor binding [GO:0005176]; extracellular matrix constituent; lubricant activity [GO:0030197]; cell-matrix adhesion [GO:0007160]; epithelial structure maintenance [GO:0010669]; regulation of signaling receptor activity [GO:0010469],NA,NA,NA
CHOYP_LOC100182352.2.2.m.64092,0.009218548,-0.000385159,No,NA,NA,NA,NA,NA,NA,intracellular [GO:0005622]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; mitochondrial membrane [GO:0031966]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; mitochondrion organization [GO:0007005]; organelle transport along microtubule [GO:0072384],NA,NA,NA
CHOYP_LOC100182585.1.2.m.2597,-0.011580021,0.013893848,No,NA,NA,NA,NA,NA,NA,lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; negative regulation of ERBB signaling pathway [GO:1901185]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; receptor catabolic process [GO:0032801]; renal system process [GO:0003014]; vacuolar protein processing [GO:0006624],NA,NA,NA
CHOYP_LOC100182585.2.2.m.24665,-0.012439476,-0.010535819,No,NA,NA,NA,NA,NA,NA,nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA splicing; via spliceosome [GO:0000398],NA,NA,NA
CHOYP_LOC100183353.1.1.m.54920,-0.020826554,-0.006331152,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100183535.2.2.m.10350,0.006475326,-0.022261441,No,NA,NA,NA,NA,NA,NA,lyase activity [GO:0016829],NA,NA,NA
CHOYP_LOC100183583.1.2.m.3863,0.002332627,0.003819888,No,NA,NA,NA,NA,NA,NA,mitochondrion [GO:0005739]; glycerophospholipid biosynthetic process [GO:0046474],NA,NA,NA
CHOYP_LOC100183682.1.1.m.61630,-0.004358491,-0.00200182,No,NA,NA,NA,NA,NA,NA,nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380],NA,NA,NA
CHOYP_LOC100183847.1.2.m.12797,0.00877478,-0.010838743,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; dUTP diphosphatase activity [GO:0004170]; magnesium ion binding [GO:0000287]; peroxisome proliferator activated receptor binding [GO:0042975]; pyrimidine deoxyribonucleotide binding [GO:0032556]; receptor inhibitor activity [GO:0030547]; RNA binding [GO:0003723]; DNA replication [GO:0006260]; dUMP biosynthetic process [GO:0006226]; dUTP catabolic process [GO:0046081]; liver development [GO:0001889]; nucleobase-containing compound metabolic process [GO:0006139]; nucleobase-containing small molecule interconversion [GO:0015949]; protein homotrimerization [GO:0070207]; regulation of protein heterodimerization activity [GO:0043497]; response to organic cyclic compound [GO:0014070],NA,NA,NA
CHOYP_LOC100184284.2.2.m.21644,-0.013569999,0.001095858,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; bone mineralization [GO:0030282]; cell differentiation [GO:0030154]; embryonic digestive tract development [GO:0048566]; limb morphogenesis [GO:0035108]; lung alveolus development [GO:0048286]; multicellular organism growth [GO:0035264]; negative regulation of Golgi to plasma membrane protein transport [GO:0042997]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of bone mineralization [GO:0030501]; positive regulation of chondrocyte differentiation [GO:0032332]; protein transport [GO:0015031]; roof of mouth development [GO:0060021]; skeletal system development [GO:0001501],NA,NA,NA
CHOYP_LOC100184451.1.8.m.30146,-0.019338095,-0.005002615,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100184874.1.1.m.41851,0.00285648,-0.011869674,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; signaling receptor binding [GO:0005102],NA,NA,NA
CHOYP_LOC100185060.2.2.m.18100,-0.020659011,0.002910369,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; intracellular signal transduction [GO:0035556]; protein ubiquitination [GO:0016567],NA,NA,NA
CHOYP_LOC100185271.1.1.m.19210,-0.016043233,-0.002050265,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100185431.1.1.m.43063,-0.004931786,0.000978119,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; methyltransferase activity [GO:0008168],NA,NA,NA
CHOYP_LOC100185443.1.1.m.60976,-0.013658017,-0.012571015,No,NA,NA,NA,NA,NA,NA,apical plasma membrane [GO:0016324]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cilium organization [GO:0044782],NA,NA,NA
CHOYP_LOC100185472.1.1.m.66178,-0.019121699,0.003825781,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100185473.1.1.m.5316,-0.013572558,0.003886046,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100185549.1.6.m.31232,-0.014158833,0.018064355,No,NA,NA,NA,NA,NA,NA,plasma membrane [GO:0005886]; AMP binding [GO:0016208],NA,NA,NA
CHOYP_LOC100185549.5.6.m.62694,-0.013631841,0.000735247,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100185846.1.1.m.37884,0.004509794,0.002401885,No,NA,NA,NA,NA,NA,NA,regulation of actin filament-based process [GO:0032970],NA,NA,NA
CHOYP_LOC100186070.1.1.m.3415,0.003272639,-0.0199052,No,NA,NA,NA,NA,NA,NA,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; protein-containing complex [GO:0032991]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; protein heterotrimerization [GO:0070208],NA,NA,NA
CHOYP_LOC100186203.1.1.m.7875,0.000974287,-0.024811664,No,NA,NA,NA,NA,NA,NA,nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; regulation of transcription; DNA-templated [GO:0006355],NA,NA,NA
CHOYP_LOC100186203.1.1.m.7876,0.017757669,-2.35E-05,No,NA,NA,NA,NA,NA,NA,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]; aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; aspartyl-tRNA aminoacylation [GO:0006422],NA,NA,NA
CHOYP_LOC100186276.4.5.m.12980,0.000686233,-0.010733133,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186299.6.6.m.52749,-0.005116962,0.006880223,No,NA,NA,NA,NA,NA,NA,centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; dendritic branch [GO:0044307]; extrinsic component of postsynaptic density membrane [GO:0099147]; Golgi apparatus [GO:0005794]; Golgi stack [GO:0005795]; neuronal cell body [GO:0043025]; pericentriolar material [GO:0000242]; synaptic membrane [GO:0097060]; potassium channel regulator activity [GO:0015459]; protein kinase A regulatory subunit binding [GO:0034237]; protein-containing complex scaffold activity [GO:0032947]; maintenance of centrosome location [GO:0051661]; microtubule nucleation [GO:0007020]; negative regulation of adenylate cyclase activity [GO:0007194]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; regulation of Golgi organization [GO:1903358]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]; Sertoli cell development [GO:0060009]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283],NA,NA,NA
CHOYP_LOC100186360.1.2.m.50759,-0.009145555,-0.006735735,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100186361.3.3.m.66600,0.014698474,-0.006593306,No,NA,NA,NA,NA,NA,NA,A band [GO:0031672]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]; postsynaptic density [GO:0014069]; rough endoplasmic reticulum [GO:0005791]; synapse [GO:0045202]; 5.8S rRNA binding [GO:1990932]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027],NA,NA,NA
CHOYP_LOC100186692.1.1.m.7600,0.008201035,-0.003321216,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576],NA,NA,NA
CHOYP_LOC100186733.1.1.m.7066,-0.004093635,0.006577385,No,NA,NA,NA,NA,NA,NA,cellularization cleavage furrow [GO:0110070]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; midbody [GO:0030496]; mitotic cytokinetic process [GO:1902410]; mitotic nuclear division [GO:0140014]; nuclear chromosome segregation [GO:0098813],NA,NA,NA
CHOYP_LOC100186936.1.2.m.12235,0.006159669,0.009419646,No,NA,NA,NA,NA,NA,NA,thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579],NA,NA,NA
CHOYP_LOC100187037.1.1.m.55673,0.003647786,-0.008720528,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100187348.1.1.m.29904,-0.022147626,0.009462017,No,NA,NA,NA,NA,NA,NA,signal transduction [GO:0007165],NA,NA,NA
CHOYP_LOC100197130.2.2.m.39076,0.022558646,-0.010020232,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100197511.1.1.m.22053,0.004850669,-0.016709979,No,NA,NA,NA,NA,NA,NA,mitochondrial proton-transporting ATP synthase complex [GO:0005753]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex; catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity; rotational mechanism [GO:0046933]; ATP synthesis coupled proton transport [GO:0015986],NA,NA,NA
