protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LIGO2.1.2.m.3525,0.00130364590279245,0.00323325114106085,No,NA,NA,Q80X72,NA,NA,NA,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; collagen binding [GO:0005518]; fibronectin binding [GO:0001968]; laminin binding [GO:0043236]; negative regulation of protein localization to plasma membrane [GO:1903077]; positive regulation of cell migration [GO:0030335]; receptor-mediated virion attachment to host cell [GO:0046813],NA,NA,NA
CHOYP_LIN9.1.1.m.12005,0.00673650814626654,-0.000723371415772045,No,NA,NA,Q5TKA1,NA,NA,NA,nucleoplasm [GO:0005654]; transcriptional repressor complex [GO:0017053]; DNA binding [GO:0003677]; cell cycle [GO:0007049]; DNA biosynthetic process [GO:0071897]; regulation of cell cycle [GO:0051726]; reproduction [GO:0000003]; transcription; DNA-templated [GO:0006351],NA,NA,NA
CHOYP_LINJ_09_0950.1.1.m.64023,0.00838342791793637,-0.00683467025373077,No,NA,NA,P0CH27,NA,NA,NA,nucleus [GO:0005634]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,NA,NA
CHOYP_LIPA1.1.1.m.10892,-0.00188134612007912,-0.00104200317661154,No,NA,NA,Q13136,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; presynaptic active zone [GO:0048786]; cell-matrix adhesion [GO:0007160]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of stress fiber assembly [GO:0051497]; signal transduction [GO:0007165],NA,NA,NA
CHOYP_LIPB1.1.1.m.35961,-0.0165337505235679,0.00983593000454421,No,NA,NA,Q8ND30,NA,NA,NA,cytosol [GO:0005829]; extracellular space [GO:0005615]; intracellular [GO:0005622]; presynapse [GO:0098793]; identical protein binding [GO:0042802],NA,NA,NA
CHOYP_LIPR1.2.3.m.4679,-0.0137268417476179,-0.00245835814892038,No,NA,NA,P54316,NA,NA,NA,extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; lipase activity [GO:0016298]; triglyceride lipase activity [GO:0004806]; lipid metabolic process [GO:0006629]; pancreas development [GO:0031016]; response to glucocorticoid [GO:0051384]; response to peptide hormone [GO:0043434],NA,NA,NA
CHOYP_LIS1.1.1.m.56212,0.00123413274928007,0.00577847751551683,No,NA,NA,C3XVT5,NA,NA,NA,axon cytoplasm [GO:1904115]; cytoplasmic microtubule [GO:0005881]; kinetochore [GO:0000776]; microtubule associated complex [GO:0005875]; microtubule organizing center [GO:0005815]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; dynein complex binding [GO:0070840]; microtubule plus-end binding [GO:0051010]; brain morphogenesis [GO:0048854]; cell division [GO:0051301]; establishment of mitotic spindle orientation [GO:0000132]; microtubule organizing center organization [GO:0031023]; microtubule sliding [GO:0051012]; nuclear migration [GO:0007097]; regulation of microtubule motor activity [GO:2000574]; retrograde axonal transport [GO:0008090]; vesicle transport along microtubule [GO:0047496],NA,NA,NA
CHOYP_LMBL3.1.1.m.14251,-0.0023499583367438,0.00026488953182364,No,NA,NA,E1C2V1,NA,NA,NA,nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]; chromatin organization [GO:0006325],NA,NA,NA
CHOYP_LMNB2.1.1.m.55999,4.13734768398089e-05,-0.0019437936507303,No,NA,NA,P08928,NA,NA,NA,cytoplasm [GO:0005737]; lamin filament [GO:0005638]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear lamina [GO:0005652]; nucleus [GO:0005634]; spindle pole [GO:0000922]; chromatin binding [GO:0003682]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]; adult locomotory behavior [GO:0008344]; cell aging [GO:0007569]; central nervous system development [GO:0007417]; chitin-based cuticle development [GO:0040003]; chromatin silencing [GO:0006342]; compound eye morphogenesis [GO:0001745]; digestive tract morphogenesis [GO:0048546]; gonad morphogenesis [GO:0035262]; heterochromatin maintenance involved in chromatin silencing [GO:0070870]; male meiosis cytokinesis [GO:0007112]; meiosis I cytokinesis [GO:0007110]; mitotic nuclear envelope reassembly [GO:0007084]; negative regulation of cell proliferation [GO:0008285]; negative regulation of immune response [GO:0050777]; nuclear envelope organization [GO:0006998]; nuclear membrane organization [GO:0071763]; nuclear migration [GO:0007097]; nuclear pore distribution [GO:0031081]; nucleus organization [GO:0006997]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cytokinesis; actomyosin contractile ring assembly [GO:2000433]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of spindle assembly [GO:1905832]; protein localization to nuclear envelope [GO:0090435]; spermatocyte division [GO:0048137]; spermatogenesis [GO:0007283]; terminal branching; open tracheal system [GO:0007430],NA,NA,NA
CHOYP_LMO7.1.1.m.27803,0.00315661455650715,-0.00264000976862969,No,NA,NA,Q9UPQ0,NA,NA,NA,cytoplasm [GO:0005737]; stress fiber [GO:0001725]; actin binding [GO:0003779]; metal ion binding [GO:0046872]; myosin II head/neck binding [GO:0032034]; actomyosin structure organization [GO:0031032]; negative regulation of cell migration [GO:0030336]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of stress fiber assembly [GO:0051496]; regulation of focal adhesion assembly [GO:0051893],NA,NA,NA
CHOYP_LNTL.1.1.2.m.10782,-0.000732225379664628,-0.0061933643239233,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_00377.2.4.m.54574,0.00235577181455818,-0.000636596829870293,No,NA,NA,Q20930,NA,NA,NA,basement membrane [GO:0005604]; extracellular space [GO:0005615]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; gonad morphogenesis [GO:0035262]; protein autoprocessing [GO:0016540]; protein localization [GO:0008104]; regulation of cell migration [GO:0030334]; regulation of distal tip cell migration [GO:1903354]; zymogen activation [GO:0031638],NA,NA,NA
CHOYP_LOAG_00625.1.1.m.34418,0.00893982163558821,-0.0162300906677321,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_01021.1.4.m.1826,-0.00868249595103207,-0.00409565800768717,No,NA,NA,O01761,NA,NA,NA,A band [GO:0031672]; M band [GO:0031430]; ATP binding [GO:0005524]; MATH domain binding [GO:0090736]; phosphatase binding [GO:0019902]; protein kinase activity [GO:0004672]; Rho GTPase binding [GO:0017048]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; cellular protein localization [GO:0034613]; myosin filament assembly [GO:0031034]; pharyngeal gland morphogenesis [GO:1905905]; positive regulation of gene expression [GO:0010628]; positive regulation of locomotion [GO:0040017]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of striated muscle contraction [GO:0045989]; regulation of Rho protein signal transduction [GO:0035023]; regulation of skeletal muscle contraction by calcium ion signaling [GO:0014722]; sarcomere organization [GO:0045214]; skeletal muscle myosin thick filament assembly [GO:0030241]; striated muscle myosin thick filament assembly [GO:0071688],NA,NA,NA
CHOYP_LOAG_05095.2.2.m.58023,0.0103526440212153,0.0058315386190533,No,NA,NA,Q9NJV4,NA,NA,NA,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524],NA,NA,NA
CHOYP_LOAG_05718.1.1.m.48540,-0.00429009272706094,-0.0014375430583301,No,NA,NA,Q5R957,NA,NA,NA,chloride channel complex [GO:0034707]; cytoplasmic vesicle membrane [GO:0030659]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; chloride channel activity [GO:0005254]; voltage-gated ion channel activity [GO:0005244]; regulation of ion transmembrane transport [GO:0034765],NA,NA,NA
CHOYP_LOAG_05814.1.1.m.56611,-0.0128720109897011,-0.00819171601947658,No,NA,NA,Q9JLY7,NA,NA,NA,cytoplasm [GO:0005737]; nucleus [GO:0005634]; MAP kinase tyrosine/serine/threonine phosphatase activity [GO:0017017]; protein tyrosine phosphatase activity [GO:0004725],NA,NA,NA
CHOYP_LOC100005182.1.1.m.53007,-0.000474760087798866,-0.00845143103093975,No,NA,NA,Q9NUV9,NA,NA,NA,cytosol [GO:0005829]; GTP binding [GO:0005525],NA,NA,NA
CHOYP_LOC100005318.1.1.m.30043,0.0141747387732547,-0.00726846080227568,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100007585.5.7.m.51610,4.68434104409535e-05,-0.00230253610859238,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100008030.1.1.m.10817,-0.00211111954671813,-0.00690884305991031,No,NA,NA,Q6ZSB9,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription activator activity; RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity; RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; transcription coactivator binding [GO:0001223]; transcription factor binding [GO:0008134]; cell cycle arrest [GO:0007050]; negative regulation of cell proliferation [GO:0008285]; positive regulation of transcription by RNA polymerase II [GO:0045944],NA,NA,NA
CHOYP_LOC100013725.1.2.m.12740,-0.00604908787090156,-0.00124201261252093,No,NA,NA,P07607,NA,NA,NA,cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; cofactor binding [GO:0048037]; drug binding [GO:0008144]; folic acid binding [GO:0005542]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]; protein homodimerization activity [GO:0042803]; sequence-specific mRNA binding [GO:1990825]; thymidylate synthase activity [GO:0004799]; translation repressor activity; mRNA regulatory element binding [GO:0000900]; aging [GO:0007568]; cartilage development [GO:0051216]; circadian rhythm [GO:0007623]; developmental growth [GO:0048589]; dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; dUMP metabolic process [GO:0046078]; immortalization of host cell by virus [GO:0019088]; intestinal epithelial cell maturation [GO:0060574]; liver regeneration [GO:0097421]; negative regulation of translation [GO:0017148]; regulation of translation [GO:0006417]; response to cytokine [GO:0034097]; response to ethanol [GO:0045471]; response to folic acid [GO:0051593]; response to glucocorticoid [GO:0051384]; response to organophosphorus [GO:0046683]; response to progesterone [GO:0032570]; response to vitamin A [GO:0033189]; tetrahydrofolate interconversion [GO:0035999]; uracil metabolic process [GO:0019860],NA,NA,NA
CHOYP_LOC100017222.1.1.m.19930,0.00201045109959076,-0.00447751392364165,No,NA,NA,Q6PGE4,NA,NA,NA,nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; regulation of transcription; DNA-templated [GO:0006355],NA,NA,NA
CHOYP_LOC100017224.1.1.m.26828,-0.000891289735572591,-0.00114813286889463,No,NA,NA,Q4VBV9,NA,NA,NA,cytoplasm [GO:0005737]; omega-amidase activity [GO:0050152]; asparagine metabolic process [GO:0006528]; glutamine metabolic process [GO:0006541]; oxaloacetate metabolic process [GO:0006107],NA,NA,NA
CHOYP_LOC100023660.1.1.m.30865,0.00605850748080951,-0.010999114941313,No,NA,NA,Q91766,NA,NA,NA,nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; hepatocyte differentiation [GO:0070365]; lipid homeostasis [GO:0055088]; regulation of insulin secretion [GO:0050796]; type B pancreatic cell development [GO:0003323],NA,NA,NA
CHOYP_LOC100024134.1.1.m.61877,0.0105711875690335,0.00296995784441722,No,NA,NA,Q91ZW6,NA,NA,NA,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; iron ion binding [GO:0005506]; oxidoreductase activity; acting on single donors with incorporation of molecular oxygen; incorporation of two atoms of oxygen [GO:0016702]; trimethyllysine dioxygenase activity [GO:0050353]; carnitine biosynthetic process [GO:0045329],NA,NA,NA
CHOYP_LOC100024935.1.1.m.2615,-0.000109547329550739,0.00345631985511353,No,NA,NA,Q95108,NA,NA,NA,mitochondrion [GO:0005739]; nucleolus [GO:0005730]; protein disulfide oxidoreductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662],NA,NA,NA
CHOYP_LOC100027252.1.1.m.30045,-0.00190596149647145,0.00316544831364382,No,NA,NA,Q08623,NA,NA,NA,cytosol [GO:0005829]; hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; pseudouridine 5'-phosphatase activity [GO:1990738]; nucleotide metabolic process [GO:0009117]; pyrimidine nucleoside salvage [GO:0043097],NA,NA,NA
CHOYP_LOC100027962.1.1.m.48278,0.00356687525502196,0.00165772797545303,No,NA,NA,Q8R146,NA,NA,NA,cytosol [GO:0005829]; nuclear membrane [GO:0031965]; identical protein binding [GO:0042802]; omega peptidase activity [GO:0008242]; serine-type endopeptidase activity [GO:0004252]; amyloid-beta metabolic process [GO:0050435]; proteolysis [GO:0006508],NA,NA,NA
CHOYP_LOC100028654.1.1.m.62088,0.00206339286867243,0.0013918837033003,No,NA,NA,A3KPN8,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100030710.2.4.m.13432,0.0056997800319721,0.00831344733152546,No,NA,NA,A0A0R4IBK5,NA,NA,NA,cytosol [GO:0005829]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; blood circulation [GO:0008015]; sprouting angiogenesis [GO:0002040]; ubiquitin-dependent protein catabolic process [GO:0006511],NA,NA,NA
CHOYP_LOC100030710.4.4.m.20819,0.00246307649680085,0.00499865895094052,No,NA,NA,A0A0R4IBK5,NA,NA,NA,cytosol [GO:0005829]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; blood circulation [GO:0008015]; sprouting angiogenesis [GO:0002040]; ubiquitin-dependent protein catabolic process [GO:0006511],NA,NA,NA
CHOYP_LOC100049762.1.1.m.1777,4.34642386719896e-08,0.00461499868342976,No,NA,NA,Q1HQF8,NA,NA,NA,extracellular space [GO:0005615]; integral component of membrane [GO:0016021],NA,NA,NA
CHOYP_LOC100061302.1.1.m.47172,0.00512893952530495,-0.00138598595255625,No,NA,NA,Q96PY6,NA,NA,NA,centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; pericentriolar material [GO:0000242]; 14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; activation of protein kinase activity [GO:0032147]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cilium assembly [GO:0060271]; DNA damage response; detection of DNA damage [GO:0042769]; protein phosphorylation [GO:0006468]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098],NA,NA,NA
CHOYP_LOC100068494.1.1.m.8733,0.000394516451841665,0.00661848011017817,No,NA,NA,A5PKG7,NA,NA,NA,Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cullin family protein binding [GO:0097602]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein homooligomerization [GO:0051260],NA,NA,NA
CHOYP_LOC100072802.1.1.m.27280,-0.00582877088518533,0.00021506516229487,No,NA,NA,Q3T0B6,NA,NA,NA,cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; adrenergic receptor binding [GO:0031690]; complement component C1q binding [GO:0001849]; hyaluronic acid binding [GO:0005540]; kininogen binding [GO:0030984]; mitochondrial ribosome binding [GO:0097177]; mRNA binding [GO:0003729]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; translation activator activity [GO:0008494]; apoptotic process [GO:0006915]; complement activation; classical pathway [GO:0006958]; innate immune response [GO:0045087]; mature ribosome assembly [GO:0042256]; mRNA processing [GO:0006397]; negative regulation of defense response to virus [GO:0050687]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of MDA-5 signaling pathway [GO:0039534]; negative regulation of mRNA splicing; via spliceosome [GO:0048025]; negative regulation of RIG-I signaling pathway [GO:0039536]; negative regulation of transcription by RNA polymerase II [GO:0000122]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell adhesion [GO:0045785]; positive regulation of dendritic cell chemotaxis [GO:2000510]; positive regulation of mitochondrial translation [GO:0070131]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of trophoblast cell migration [GO:1901165]; regulation of complement activation [GO:0030449]; RNA splicing [GO:0008380],NA,NA,NA
CHOYP_LOC100079978.1.1.m.18519,0.00293054947520309,0.00881682462702344,No,NA,NA,Q9WU56,NA,NA,NA,mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; nuclear receptor transcription coactivator activity [GO:0030374]; pseudouridine synthase activity [GO:0009982]; steroid receptor RNA activator RNA binding [GO:0002153]; tRNA binding [GO:0000049]; tRNA pseudouridine synthase activity [GO:0106029]; mRNA pseudouridine synthesis [GO:1990481]; positive regulation of transcription by RNA polymerase II [GO:0045944]; tRNA pseudouridine synthesis [GO:0031119],NA,NA,NA
CHOYP_LOC100080726.1.1.m.59048,0.00551395668693428,0.00115069700065727,No,NA,NA,A0JPN4,NA,NA,NA,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; protein-containing complex [GO:0032991]; rough endoplasmic reticulum [GO:0005791]; rough endoplasmic reticulum membrane [GO:0030867]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; endoribonuclease activity [GO:0004521]; exoribonuclease activity [GO:0004532]; metal ion binding [GO:0046872]; miRNA binding [GO:0035198]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; nuclease activity [GO:0004518]; ribosome binding [GO:0043022]; RNA stem-loop binding [GO:0035613]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; cellular response to chemokine [GO:1990869]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-1 [GO:0071347]; cellular response to ionomycin [GO:1904637]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidative stress [GO:0034599]; cellular response to sodium arsenite [GO:1903936]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; immune response-activating signal transduction [GO:0002757]; inflammatory response [GO:0006954]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of cardiac muscle contraction [GO:0055118]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of interferon-gamma secretion [GO:1902714]; negative regulation of interleukin-1 beta secretion [GO:0050713]; negative regulation of interleukin-6 secretion [GO:1900165]; negative regulation of muscle cell apoptotic process [GO:0010656]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903799]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; negative regulation of tumor necrosis factor secretion [GO:1904468]; nervous system development [GO:0007399]; nuclear-transcribed mRNA catabolic process; endonucleolytic cleavage-dependent decay [GO:0000294]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy [GO:0010508]; positive regulation of cell death [GO:0010942]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of lipid storage [GO:0010884]; positive regulation of miRNA catabolic process [GO:2000627]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of protein deubiquitination [GO:1903003]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein complex oligomerization [GO:0051259]; protein deubiquitination [GO:0016579]; RNA phosphodiester bond hydrolysis [GO:0090501]; RNA phosphodiester bond hydrolysis; endonucleolytic [GO:0090502]; T cell receptor signaling pathway [GO:0050852],NA,NA,NA
CHOYP_LOC100081619.1.1.m.33744,-0.0134662751266342,-0.0335669468441064,No,NA,NA,O70480,NA,NA,NA,cell surface [GO:0009986]; Golgi apparatus [GO:0005794]; integral component of presynaptic endosome membrane [GO:0099067]; integral component of synaptic vesicle membrane [GO:0030285]; phagocytic vesicle [GO:0045335]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]; cellular response to interferon-gamma [GO:0071346]; Golgi ribbon formation [GO:0090161]; Golgi to plasma membrane protein transport [GO:0043001]; microtubule cytoskeleton organization [GO:0000226]; regulation of Golgi to plasma membrane protein transport [GO:0042996]; regulation of synaptic vesicle endocytosis [GO:1900242]; SNARE complex assembly [GO:0035493]; synaptic vesicle to endosome fusion [GO:0016189]; toxin transport [GO:1901998],NA,NA,NA
CHOYP_LOC100081920.1.4.m.1772,-0.0125292568973046,0.0165136702087383,No,NA,NA,Q28024,NA,NA,NA,heterotrimeric G-protein complex [GO:0005834]; GTPase activity [GO:0003924]; PDZ domain binding [GO:0030165]; phosphate ion binding [GO:0042301]; cerebral cortex development [GO:0021987]; G protein-coupled receptor signaling pathway [GO:0007186]; response to lipopolysaccharide [GO:0032496],NA,NA,NA
CHOYP_LOC100083076.1.1.m.35327,0.00183706993383021,-0.00421768806338168,No,NA,NA,A2RT67,NA,NA,NA,cytoplasm [GO:0005737]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]; cellular protein catabolic process [GO:0044257]; endosome to lysosome transport [GO:0008333],NA,NA,NA
CHOYP_LOC100089326.1.1.m.19184,-0.00596165433990077,0.00612538309913032,No,NA,NA,P70581,NA,NA,NA,nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; protein-containing complex [GO:0032991]; nuclear localization sequence binding [GO:0008139]; structural constituent of nuclear pore [GO:0017056]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein heterooligomerization [GO:0051291]; protein heterotetramerization [GO:0051290]; protein heterotrimerization [GO:0070208]; protein homooligomerization [GO:0051260]; protein transport [GO:0015031]; regulation of protein import into nucleus [GO:0042306],NA,NA,NA
CHOYP_LOC100113561.1.1.m.37903,-0.00125442375865636,0.00364485853108128,No,NA,NA,P31478,NA,NA,NA,proton-transporting V-type ATPase; V1 domain [GO:0033180]; proton-transporting ATPase activity; rotational mechanism [GO:0046961]; ATP hydrolysis coupled proton transport [GO:0015991],NA,NA,NA
CHOYP_LOC100113671.1.1.m.18491,-0.0317301064705756,-0.011699090332481,No,NA,NA,Q8R3G1,NA,NA,NA,nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; protein phosphatase regulator activity [GO:0019888]; protein serine/threonine phosphatase inhibitor activity [GO:0004865]; cell proliferation [GO:0008283]; mRNA processing [GO:0006397]; multicellular organism development [GO:0007275]; negative regulation of protein dephosphorylation [GO:0035308]; production of miRNAs involved in gene silencing by miRNA [GO:0035196]; RNA splicing [GO:0008380],NA,NA,NA
CHOYP_LOC100114159.1.1.m.53867,0.00788084953552548,-0.00768317620211723,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114171.1.1.m.50280,0.00138654362929301,-0.00259565256923708,No,NA,NA,O42254,NA,NA,NA,CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; translation regulator activity [GO:0045182]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA transport [GO:0051028]; negative regulation of translation [GO:0017148]; neuronal stem cell population maintenance [GO:0097150]; pallium cell proliferation in forebrain [GO:0022013]; positive regulation of neuron projection development [GO:0010976]; regulation of mRNA stability involved in response to stress [GO:0010610],NA,NA,NA
CHOYP_LOC100114247.1.1.m.30717,0.00152869163351572,8.45368063919937e-05,No,NA,NA,Q99MN1,NA,NA,NA,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; amino acid binding [GO:0016597]; ATP adenylyltransferase activity [GO:0003877]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; lysine-tRNA ligase activity [GO:0004824]; protein homodimerization activity [GO:0042803]; scaffold protein binding [GO:0097110]; tRNA binding [GO:0000049]; activation of MAPK activity [GO:0000187]; basophil activation involved in immune response [GO:0002276]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; ERK1 and ERK2 cascade [GO:0070371]; lysyl-tRNA aminoacylation [GO:0006430]; negative regulation of cell proliferation [GO:0008285]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of cytokine secretion involved in immune response [GO:0002741]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of macrophage activation [GO:0043032]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of metallopeptidase activity [GO:1905050]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of transcription; DNA-templated [GO:0045893]; response to X-ray [GO:0010165]; tumor necrosis factor-mediated signaling pathway [GO:0033209],NA,NA,NA
